Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TSRTC - 8705,Super Luxury (Non AC Seater 2+2 Push Back),04:00,11:15,07h 15m,INR 517,31 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 1318,LAHARI A/C SLEEPER CUM SEATER,04:40,12:40,08h 00m,INR 627,32 Seats available,"3.8
19",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 8703,Super Luxury (Non AC Seater 2+2 Push Back),05:00,12:30,07h 30m,INR 517,31 Seats available,"4.4
7",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 1951,LAHARI A/C SLEEPER CUM SEATER,05:35,13:30,07h 55m,INR 627,37 Seats available,"4.1
27",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 8725,Super Luxury (Non AC Seater 2+2 Push Back),06:15,14:50,08h 35m,INR 517,29 Seats available,"3.9
7",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 34334,LAHARI A/C SLEEPER CUM SEATER,06:30,13:30,07h 00m,INR 627,43 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 8735,Super Luxury (Non AC Seater 2+2 Push Back),08:30,16:00,07h 30m,INR 517,30 Seats available,"2.7
7",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 7647,Super Luxury (Non AC Seater 2+2 Push Back),09:30,18:10,08h 40m,INR 517,29 Seats available,"4.8
9",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 1322,LAHARI A/C SLEEPER CUM SEATER,10:25,19:00,08h 35m,INR 627,41 Seats available,"3.7
47",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
TSRTC - 8755,Super Luxury (Non AC Seater 2+2 Push Back),10:30,18:00,07h 30m,INR 517,31 Seats available,"3.1
17",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
BSR Tours And Travels,A/C Sleeper (2+1),22:00,05:30,07h 30m,INR 880,18 Seats available,"4.5
319",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
BSR Tours And Travels,A/C Seater / Sleeper (2+1),22:00,05:30,07h 30m,INR 610,27 Seats available,"4.5
256",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),22:15,05:45,07h 30m,INR 610,29 Seats available,"4.4
101",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,05:50,08h 30m,INR 1090,30 Seats available,"4.6
70",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,05:50,08h 30m,INR 600,32 Seats available,"4.1
196",https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
